OrderID;CostomerID;ProductID;OrderDate;OrderQuantity;PaymentMethode;OrderStatus
1;14103;6671;2026-01-08 15:56:00.0000000;3;Kredi Kartı;Tamamlandı
2;12777;341;2026-01-13 18:55:00.0000000;2;Kredi Kartı;Kargoda
3;2086;17032;2026-01-27 11:42:00.0000000;1;Kredi Kartı;Tamamlandı
4;8340;9231;2026-01-10 18:05:00.0000000;1;Kredi Kartı;Tamamlandı
5;13990;11251;2026-02-18 22:47:00.0000000;1;Banka Kartı;Tamamlandı
6;9926;495;2026-01-07 16:37:00.0000000;2;Kredi Kartı;Tamamlandı
7;17444;13746;2026-01-17 08:25:00.0000000;2;Kredi Kartı;Tamamlandı
8;5803;9989;2026-02-14 16:51:00.0000000;2;Banka Kartı;İptal
9;1106;2368;2026-02-20 06:06:00.0000000;1;Kredi Kartı;Kargoda
10;7283;17072;2026-02-13 18:30:00.0000000;1;Kapıda Ödeme;Tamamlandı
11;16593;11172;2026-01-24 22:31:00.0000000;2;Kredi Kartı;Tamamlandı
12;15631;1192;2026-01-22 15:05:00.0000000;1;Banka Kartı;Kargoda
13;18562;7329;2026-01-23 04:58:00.0000000;1;Kapıda Ödeme;Tamamlandı
14;13416;16594;2026-01-10 15:44:00.0000000;1;Kredi Kartı;Tamamlandı
15;11973;1594;2026-02-08 12:34:00.0000000;1;Banka Kartı;Tamamlandı
16;20529;10635;2026-01-18 02:47:00.0000000;2;Kredi Kartı;Kargoda
17;12403;4181;2026-01-16 01:11:00.0000000;1;Kredi Kartı;Tamamlandı
18;1959;17771;2026-01-14 01:00:00.0000000;3;Havale / EFT;Tamamlandı
19;10300;2831;2026-01-03 11:43:00.0000000;2;Kapıda Ödeme;Tamamlandı
20;16428;2684;2026-01-23 19:04:00.0000000;2;Havale / EFT;Tamamlandı
21;21426;7059;2026-02-03 09:23:00.0000000;2;Kapıda Ödeme;Tamamlandı
22;16693;7666;2026-02-09 08:34:00.0000000;1;Kapıda Ödeme;Tamamlandı
23;1386;17998;2026-01-28 01:15:00.0000000;2;Banka Kartı;Tamamlandı
24;17529;15688;2026-01-17 04:50:00.0000000;2;Banka Kartı;Tamamlandı
25;8310;13954;2026-01-06 18:20:00.0000000;1;Kapıda Ödeme;Tamamlandı
26;4028;12;2026-02-18 13:41:00.0000000;1;Kredi Kartı;Tamamlandı
27;18309;6009;2026-01-30 02:01:00.0000000;4;Banka Kartı;Kargoda
28;7875;13462;2026-01-28 12:00:00.0000000;2;Havale / EFT;Tamamlandı
29;1548;11863;2026-01-31 13:29:00.0000000;1;Banka Kartı;Hazırlanıyor
30;1864;15533;2026-01-11 10:58:00.0000000;2;Kredi Kartı;Tamamlandı
31;16819;11761;2026-01-12 10:49:00.0000000;1;Kredi Kartı;Tamamlandı
32;15027;2794;2026-02-11 10:27:00.0000000;2;Kredi Kartı;Kargoda
33;14465;994;2026-01-08 05:38:00.0000000;6;Banka Kartı;Tamamlandı
34;18733;7947;2026-02-09 00:55:00.0000000;1;Havale / EFT;İptal
35;10520;297;2026-02-06 11:59:00.0000000;1;Havale / EFT;Tamamlandı
36;9738;10510;2026-01-03 08:01:00.0000000;1;Kapıda Ödeme;Tamamlandı
37;12280;1658;2026-02-14 20:03:00.0000000;1;Kredi Kartı;Tamamlandı
