ProductID;ProductName;ProductPrice;ProductStock;ProductDescription;ProductCreatedDate;ProductIsActive;ProductBarcode;CategoryID
1;Kompakt Siyah Web Kamera Standart 01-0001;30294.00;687;Elektronik kategorisi için siyah renkli, kompakt web kamera ürünü.;2026-07-16 11:06:02.000;1;8,69E+12;1
2;Yeni Nesil Bej Telefon Kılıfı Eco 01-0002;2643686.00;385;Elektronik kategorisi için bej renkli, yeni nesil telefon kılıfı ürünü.;2026-07-30 13:04:23.000;1;8,69E+12;1
3;Günlük Turuncu Bluetooth Hoparlör Max 01-0003;1846793.00;418;Elektronik kategorisi için turuncu renkli, günlük bluetooth hoparlör ürünü.;2026-07-17 00:42:39.000;1;8,69E+12;1
4;Modern Gri HDMI Kablo Nova 01-0004;3285978.00;54;Elektronik kategorisi için gri renkli, modern hdmi kablo ürünü.;2026-07-25 21:22:37.000;1;8,69E+12;1
5;Dayanıklı Siyah Akıllı Saat Standart 01-0005;1856843.00;308;Elektronik kategorisi için siyah renkli, dayanıklı akıllı saat ürünü.;2026-07-27 00:11:13.000;1;8,69E+12;1
6;Ekonomik Mavi Kablosuz Kulaklık Plus 01-0006;3165026.00;148;Elektronik kategorisi için mavi renkli, ekonomik kablosuz kulaklık ürünü.;2026-07-15 04:51:13.000;1;8,69E+12;1
7;Premium Yeşil Web Kamera B Serisi 01-0007;3174317.00;114;Elektronik kategorisi için yeşil renkli, premium web kamera ürünü.;2026-07-27 09:59:16.000;1;8,69E+12;1
8;Yeni Nesil Lacivert Kablosuz Kulaklık A Serisi 01-0008;525089.00;803;Elektronik kategorisi için lacivert renkli, yeni nesil kablosuz kulaklık ürünü.;2026-07-24 08:23:17.000;1;8,69E+12;1
9;Kaliteli Pembe Akıllı Saat Nova 01-0009;2287982.00;912;Elektronik kategorisi için pembe renkli, kaliteli akıllı saat ürünü.;2026-07-27 15:08:51.000;1;8,69E+12;1
10;Profesyonel Mavi HDMI Kablo C Serisi 01-0010;935754.00;336;Elektronik kategorisi için mavi renkli, profesyonel hdmi kablo ürünü.;2026-07-18 20:53:13.000;1;8,69E+12;1
11;Kompakt Gri Oyuncu Mouse Standart 01-0011;1488101.00;581;Elektronik kategorisi için gri renkli, kompakt oyuncu mouse ürünü.;2026-08-01 09:43:13.000;1;8,69E+12;1
12;Ekonomik Beyaz Laptop Soğutucu A Serisi 01-0012;1672273.00;236;Elektronik kategorisi için beyaz renkli, ekonomik laptop soğutucu ürünü.;2026-07-29 20:36:05.000;1;8,69E+12;1
13;Premium Mor Tablet Standı C Serisi 01-0013;1534139.00;670;Elektronik kategorisi için mor renkli, premium tablet standı ürünü.;2026-07-19 16:33:14.000;1;8,69E+12;1
14;Hafif Pembe Taşınabilir Şarj Cihazı Max 01-0014;1249180.00;691;Elektronik kategorisi için pembe renkli, hafif taşınabilir şarj cihazı ürünü.;2026-08-01 19:31:37.000;1;8,69E+12;1
15;Kompakt Beyaz USB Bellek A Serisi 01-0015;2779209.00;302;Elektronik kategorisi için beyaz renkli, kompakt usb bellek ürünü.;2026-07-30 12:05:44.000;1;8,69E+12;1
16;Kaliteli Lacivert USB Bellek Max 01-0016;2073786.00;591;Elektronik kategorisi için lacivert renkli, kaliteli usb bellek ürünü.;2026-07-11 17:34:39.000;1;8,69E+12;1
17;Pratik Pembe Web Kamera Elite 01-0017;954564.00;792;Elektronik kategorisi için pembe renkli, pratik web kamera ürünü.;2026-07-16 22:10:35.000;1;8,69E+12;1
18;Kompakt Lacivert Laptop Soğutucu Max 01-0018;3063664.00;12;Elektronik kategorisi için lacivert renkli, kompakt laptop soğutucu ürünü.;2026-07-20 14:07:42.000;1;8,69E+12;1
19;Kompakt Beyaz Akıllı Saat C Serisi 01-0019;785221.00;746;Elektronik kategorisi için beyaz renkli, kompakt akıllı saat ürünü.;2026-07-23 01:14:11.000;1;8,69E+12;1
20;Yeni Nesil Mavi Bluetooth Hoparlör Standart 01-0020;2184718.00;279;Elektronik kategorisi için mavi renkli, yeni nesil bluetooth hoparlör ürünü.;2026-07-07 00:54:00.000;1;8,69E+12;1
21;Premium Lacivert Kablosuz Kulaklık C Serisi 01-0021;477531.00;255;Elektronik kategorisi için lacivert renkli, premium kablosuz kulaklık ürünü.;2026-07-16 08:04:41.000;1;8,69E+12;1
22;Dayanıklı Kırmızı Taşınabilir Şarj Cihazı Elite 01-0022;155811.00;41;Elektronik kategorisi için kırmızı renkli, dayanıklı taşınabilir şarj cihazı ürünü.;2026-07-28 11:26:54.000;1;8,69E+12;1
23;Premium Kahverengi Mekanik Klavye Mini 01-0023;768945.00;202;Elektronik kategorisi için kahverengi renkli, premium mekanik klavye ürünü.;2026-07-18 09:15:49.000;1;8,69E+12;1
24;Ekonomik Bej USB Bellek Eco 01-0024;22621.00;763;Elektronik kategorisi için bej renkli, ekonomik usb bellek ürünü.;2026-07-06 22:39:48.000;1;8,69E+12;1
25;Premium Siyah USB Bellek Nova 01-0025;2101358.00;775;Elektronik kategorisi için siyah renkli, premium usb bellek ürünü.;2026-07-18 20:40:12.000;1;8,69E+12;1
26;Profesyonel Kırmızı HDMI Kablo Eco 01-0026;436157.00;718;Elektronik kategorisi için kırmızı renkli, profesyonel hdmi kablo ürünü.;2026-07-30 23:18:00.000;1;8,69E+12;1
27;Yeni Nesil Kırmızı Akıllı Saat Standart 01-0027;2774460.00;551;Elektronik kategorisi için kırmızı renkli, yeni nesil akıllı saat ürünü.;2026-07-15 22:08:16.000;1;8,69E+12;1
28;Şık Yeşil Kablosuz Kulaklık Plus 01-0028;1087421.00;236;Elektronik kategorisi için yeşil renkli, şık kablosuz kulaklık ürünü.;2026-07-24 08:49:27.000;1;8,69E+12;1
